"provname","year","biweek","time","cases","births","pop","precip_mm","temp_C"
"Prey Veng",2010,2,2010.03846153846,2,975.962221872928,997577.438283211,40.7548305808,26.9191454214286
"Prey Veng",2010,3,2010.07692307692,2,976.128108902356,998173.254886619,0.4092145140751,28.9114394642858
"Prey Veng",2010,4,2010.11538461538,2,976.293995931784,998769.071490026,1.2308443073971,29.8616987428572
"Prey Veng",2010,5,2010.15384615385,2,976.459882961212,999364.888093434,1.001973209979,30.8013363071429
"Prey Veng",2010,6,2010.19230769231,3,976.62576999064,999960.704696842,11.926525593654,31.2416945642858
"Prey Veng",2010,7,2010.23076923077,2,976.791657020068,1000556.52130025,10.36881271602,31.7075367571429
"Prey Veng",2010,8,2010.26923076923,3,976.957544049497,1001152.33790366,42.3604276188,31.80970095
"Prey Veng",2010,9,2010.30769230769,4,977.123431078925,1001748.15450706,84.9047,30.2360196785714
"Prey Veng",2010,10,2010.34615384615,4,977.289318108353,1002343.97111047,30.5139,31.4184851142857
"Prey Veng",2010,11,2010.38461538462,5,977.455205137781,1002939.78771388,73.9734,30.3842710714286
"Prey Veng",2010,12,2010.42307692308,11,977.621092167209,1003535.60431729,101.5414,29.6943417714286
"Prey Veng",2010,13,2010.46153846154,9,977.707131023812,1004131.4209207,118.0199,28.6548641285714
"Prey Veng",2010,14,2010.5,18,977.783188858812,1004727.2375241,72.4699,28.8256758357143
"Prey Veng",2010,15,2010.53846153846,34,977.859246693811,1005323.05412751,78.2387,28.4190849785714
"Prey Veng",2010,16,2010.57692307692,32,977.935304528811,1005918.87073092,102.8274,28.3599720714286
"Prey Veng",2010,17,2010.61538461538,37,978.01136236381,1006514.68733433,119.564,28.1739461785714
"Prey Veng",2010,18,2010.65384615385,40,978.08742019881,1007110.50393773,113.5413,28.3998101785714
"Prey Veng",2010,19,2010.69230769231,41,978.16347803381,1007706.32054114,100.0129,28.47879195
"Prey Veng",2010,20,2010.73076923077,42,978.239535868809,1008302.13714455,156.2847,28.0888084
"Prey Veng",2010,21,2010.76923076923,26,978.315593703809,1008897.95374796,227.3931,27.1211849
"Prey Veng",2010,22,2010.80769230769,17,978.391651538809,1009493.77035137,77.1681479624,26.6675547785715
